RND,ADMIN,MKT,STATE,Profit_pred
78013.11,121597.55,264346.06,California,108643.015
22177.74,154806.14,28334.72,California,79622.83499999999
23640.93,96189.63,148001.11,California,79622.83499999999
101913.08,110594.11,229160.95,Florida,132602.65
77044.01,99281.34,140574.81,New York,108643.015
542.05,51743.15,0.0,New York,42559.73
61136.38,152701.92,88218.23,New York,96981.535
100671.96,91790.61,249744.55,California,132602.65
28663.76,127056.21,201126.82,Florida,79622.83499999999
20229.59,65947.93,185265.1,New York,79622.83499999999
1000.23,124153.04,1903.93,New York,42559.73
93863.75,127320.38,249839.44,Florida,132602.65
55493.95,103057.49,214634.81,Florida,96981.535
120542.52,148718.95,311613.29,New York,155937.555
28754.33,118546.05,172795.67,California,79622.83499999999
